Codigo,Numero,Titulo,CodigoAmbito,Ambito,Municipio,TiposNorma,IdTiposNorma,Tags
ACU M-245/2012 ESP,245,"Acuerdo Multilateral M-245 en virtud de la Sección 1.5.1 del Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR), (publicado en el «Boletín Oficial del Estado» número 164, de 11-07-2011) sobre los requisitos de las sustancias peligrosas para el medioambiente (EHS) relacionados con la clase 7, hecho en Madrid el 3 de abril de 2012.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral M-245
ACU M-254/2013 ESP,254,"Acuerdo Multilateral M-254 bajo el párrafo 1.5.1 del Anexo A del Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR), relativo al marcado (placas) de contenedores usados exclusivamente en una operación de transporte por carretera, hecho en Madrid el 10 de enero de 2013.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral M-254
ACU M-259/2013 ESP,259,"Acuerdo Multilateral M-259 en virtud de la sección 1.5.1 del Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR), relativo al transporte de pilas o baterías de litio dañadas o defectuosas (UN 3090-2091-3480-3481), hecho en Madrid el 26 de junio de 2013.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral M-259
ACU M-265/2014 ESP,265,"Acuerdo Multilateral M-265 en aplicación de la sección 1.5.1 del Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR), relativo a la disposición especial S12, hecho en Madrid el 6 de junio de 2013.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral M-265
ACU M-268/2014 ESP,268,"Acuerdo Multilateral M-268 en aplicación de la sección 1.5.1 del Anexo A del Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR), relativo al transporte de embalajes desechados, vacíos, sin limpiar (n.º ONU 3509), hecho en Madrid el 20 de diciembre de 2013.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral M-268
ACU M-269/2014 ESP,269,"Acuerdo Multilateral M 269 en aplicación de la sección 1.5.1 del Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR), relativo al marcado de los números UN en botellas para gases licuados del petróleo (GLP), hecho en Madrid el 20 de diciembre de 2013.", ESP,España,,M. Ambiente / Prevención,[1][2],
ACU M-271/2014 ESP,271,"Acuerdo Multilateral M-271 en aplicación de la sección 1.5.1 del Anexo A del Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR), relativo a los dispositivos de aditivos como parte del equipamiento de servicio de cisternas, hecho en Madrid el 12 de marzo de 2014.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral M-271
ACU M-273/2014 ESP,273,"Acuerdo Multilateral M-273 en aplicación de la sección 1.5.1 del Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR), relativo al marcado de las botellas de gas, hecho en Madrid el 12 de marzo de 2014.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral M-273
ACU M-276/2014 ESP,276,"Acuerdo Multilateral M-276 en aplicación de la sección 1.5.1 del Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR), relativo a la construcción de vehículos FL y OX que usan gas natural licuado (GNL) como combustible de propulsión, hecho en Madrid el 7 de julio de 2014.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral M-276
ACU M-291/2016 ESP,291,"Acuerdo Multilateral M-291 en aplicación de la sección 1.5.1 del anexo A del Acuerdo europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR), relativo a la instrucción de embalaje P502 para el ONU 1873, hecho en Madrid el 13 de abril de 2016", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral M-291
ACU M-292/2016 ESP,292,"Acuerdo Multilateral M-292 en virtud de la sección 1.5.1 del Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR), relativo al transporte de baterías de litio dañadas que son transportadas de acuerdo a las condiciones especificadas por la autoridad competente bajo la disposición especial 376, hecho en Madrid el 22 de diciembre de 2015", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral M-292
ACU M-300/2016 ESP,300,"Acuerdo  Multilateral  M  300  en  aplicación  de  la  sección  1.5.1  del  Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR), relativo al documento de transporte en operaciones de venta en ruta, hecho en Madrid el 11 de julio de 2016", ESP,España,,M. Ambiente / Prevención,[1][2],
ACU M-304/2017 ESP,304,"Acuerdo Multilateral M 304 en aplicación de la sección 1.5.1 del AcuerdoEuropeo sobre transporte internacional de mercancías peligrosas por carretera(ADR), relativo al número de remolques en una unidad de transporte demercancías peligrosas, hecho en Madrid el 30 de enero de 2017", ESP,España,,M. Ambiente / Prevención,[1][2],
ACU M-311/2018 ESP,311,"Acuerdo Multilateral M 311 en virtud de la sección 1.5.1 del Anexo A del Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR), relativo al marcado (placas etiqueta) de contenedores usados exclusivamente en una operación de transporte por carretera, hecho en Madrid el 22 de marzo de 2018", ESP,España,,M. Ambiente / Prevención,[1][2],
ACU M-315/2019 ESP,186,"Acuerdo Multilateral M315 en virtud de la sección 1.5.1 del Anexo A del Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR), relativo al transporte de desechos contaminados con virus que causan fiebre hemorrágica, hecho en Madrid el 8 de julio de 2019", ESP,España,,M. Ambiente / Prevención,[1][2],
ACU M-317/2020 ESP,317,"Acuerdo Multilateral M317 en virtud de la sección 1.5. del Acuerdo europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR), relativo al transporte de desechos médicos sólidos o clínicos, Categoría A, hecho en Madrid el 23 de marzo de 2020", ESP,España,,M. Ambiente / Prevención,[1][2],
ACU M-324/2020 ESP,324,"Acuerdo Multilateral M324 en virtud de la sección 1.5.1 del Acuerdo europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR) relativo a los certificados de formación de los conductores de conformidad con el punto 8.2.2.8.2 del ADR y los certificados de consejeros de seguridad de conformidad con el punto 1.8.3.7 del ADR, hecho en Madrid el 23 de marzo de 2020", ESP,España,,M. Ambiente / Prevención,[1][2],
ACU M-325/2020 ESP,325,"Acuerdo Multilateral M325 en virtud de la sección 1.5.1 del Acuerdo europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR), relativo a inspecciones periódicas o intermedias de cisternas de conformidad con los apartados 6.8.2.4.2, 6.8.2.4.3, 6.8.3.4.6, 6.8.3.4.12, 6.9.5.2 y 6.10.4 del ADR, y los certificados de aprobación para vehículos de conformidad con el apartado 9.1.3.4 del ADR, hecho en Madrid el 23 de marzo de 2020", ESP,España,,M. Ambiente / Prevención,[1][2],
ACU M-326/2020 ESP,326,"Acuerdo Multilateral M326 en virtud de la sección 1.5.1 del Acuerdo europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR), relativo a la inspección periódica y ensayo de recipientes a presión del transporte de gases de la Clase 2, hecho en Madrid el 2 de abril de 2020", ESP,España,,M. Ambiente / Prevención,[1][2],
ACU M-327/2020 ESP,327,"Acuerdo Multilateral M327 bajo la sección 1.5.1 del Acuerdo europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR), sobre inspecciones periódicas o intermedias de cisternas portátiles y contenedores de gas de elementos múltiples (CGEM) certificados «UN» de acuerdo con los apartados 6.7.2.19.2, 6.7.3.15.2, 6.7.4.14.2 y 6.7.5.12.2 del ADR, hecho en Madrid el 2 de abril de 2020", ESP,España,,M. Ambiente / Prevención,[1][2],
ACU M-330/2020 ESP,330,"Acuerdo Multilateral M330 en virtud de la sección 1.5.1 del ADR, relativo a los certificados de formación de los conductores de conformidad con el punto 8.2.2.8.2 del ADR y los certificados de consejeros de seguridad de conformidad con el punto 1.8.3.7 del ADR, hecho en Madrid el 2 de diciembre de 2020", ESP,España,,M. Ambiente / Prevención,[1][2],
ACU M-331/2020 ESP,331,"Acuerdo Multilateral M331 en virtud de la sección 1.5.1 del ADR, relativo a la inspección periódica y ensayo de recipientes a presión para el transporte de gases de la Clase 2, hecho en Madrid el 2 de diciembre de 2020", ESP,España,,M. Ambiente / Prevención,[1][2],
ACU M-332/2020 ESP,332,"Acuerdo Multilateral M332 en virtud de la sección 1.5.1 del ADR, en relación con lo establecido para los materiales radiactivos de baja actividad específica BAE-III en el párrafo 2.2.7.2.3.1.4 del ADR, hecho en Madrid el 11 de diciembre de 2020", ESP,España,,M. Ambiente / Prevención,[1][2],
ACU RID 3/2011 ESP,3,"Acuerdo Multilateral RID 3/2011 en virtud de la Sección 1.5.1 del Reglamento del Transporte Internacional de Mercancías Peligrosas por Ferrocarril (RID) (publicado en el «Boletín Oficial del Estado» número 59, de 9 de marzo de 2007), relativo al transporte de productos químicos bajo presión, hecho en Madrid el 31 de agosto de 2011", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral RID 3/2011
ACU RID 5/2010 ESP,5,"Acuerdo Multilateral RID 5/2010 en virtud de la Sección 1.5.1. del Reglamento del Transporte Internacional de Mercancías Peligrosas por Ferrocarril (RID), relativo al transporte de UN 1057 encendedores y UN 1057 recargas para encendedores, hecho en Madrid el 14 de noviembre de 2011", ESP,España,,M. Ambiente / Reg. Industrial,[1][3],Acuerdo Multilateral RID 5/2010
ACU RID 9/2011 ESP,9,"Acuerdo Multilateral RID 9/2011 en virtud de la Sección 1.5.1. del Reglamento del Transporte Internacional de Mercancías Peligrosas por Ferrocarril (RID), (publicado en el «Boletín Oficial del Estado» número 162, de 12 de julio de 2011), relativo al transporte de Carburo Cálcico número ONU 1402 de la clase 4.3, Grupo de embalaje I en cisternas, hecho en Madrid el 29 de diciembre de 2011.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral RID 9/2011
ADR 2003,2003,ADR 2003, ESP,España,,M. Ambiente / Prevención,[1][2],
ADR 2005,2005,ADR 2005., ESP,España,,M. Ambiente / Prevención,[1][2],
ADR 2007,2007,ADR 2007, ESP,España,,M. Ambiente / Prevención,[1][2],
ADR 2009,2009,Acuerdo europeo sobre el transporte internacional de mercancías peligrosas por carretera (ADR) 2009., ESP,España,,M. Ambiente / Prevención,[1][2],
ADR 2011,2011,Acuerdo europeo sobre el transporte internacional de mercancías peligrosas por carretera (ADR) 2011., ESP,España,,M. Ambiente / Prevención,[1][2],
ADR 2013,14/3/2013,"Enmiendas propuestas por Portugal a los Anejos A y B, enmendados, del Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR), hecho en Ginebra el 30 de septiembre de 1957, aprobadas por el Grupo de Trabajo para el Transporte de Mercancías Peligrosas de la Comisión Económica para Europa durante las sesiones 88ª, 89ª, 91ª y 92ª.", ESP,España,,M. Ambiente / Prevención,[1][2],
ADR 2015,2015,"Enmiendas a los Anejos A y B del Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR 2015), adoptadas en Ginebra el 1 de julio de 2014", ESP,España,,M. Ambiente / Prevención,[1][2],
ADR 2017,2017,"Enmiendas a los Anejos A y B del Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR 2017) enmendado, adoptadas en Ginebra el 1 de octubre de 2016", ESP,España,,M. Ambiente / Prevención,[1][2],
ADR 2019,28/6/2019,"Texto enmendado de los Anejos A y B del Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR 2019) con las Enmiendas adoptadas durante las sesiones 100.ª, 101.ª, 102.ª, 103.ª y 104.ª del Grupo de trabajo de transportes de mercancías peligrosas de la Comisión Económica para Europa de las Naciones Unidas (CEPE)", ESP,España,,M. Ambiente / Prevención,[1][2],
ALBACETE 1/3/2000,1/3/2000,Reglamento regulador del servicio municipal de suministro domiciliario de agua potable de Albacete,CMA,Castilla la Mancha,Albacete,M. Ambiente,[1],
ALBACETE 18/5/2007,18/5/2007,Ordenanza sobre Instalación de Hidrantes Exteriores de Incendios de Albacete,CMA,Castilla la Mancha,Albacete,M. Ambiente,[1],
ALBACETE 2/4/2008,2/4/2008,Contenido mínimo que debe incluirse en los Proyectos de Actividad de Albacete,CMA,Castilla la Mancha,Albacete,M. Ambiente,[1],
ALBACETE 22/10/1999,22/10/1999,Modificación de la Ordenanza municipal de medio ambiente de Albacete,CMA,Castilla la Mancha,Albacete,M. Ambiente,[1],
ALBACETE 23/3/2011,23/3/2011,Ordenanza reguladora de los espacios públicos para fomentar y garantizar la convivencia ciudadana y el civismo de Albacete,CMA,Castilla la Mancha,Albacete,M. Ambiente,[1],
ALBACETE 27/11/1998,27/11/1998,Modificación de la Ordenanza municipal de medio ambiente de Albacete,CMA,Castilla la Mancha,Albacete,M. Ambiente,[1],
ALBACETE 28/1/2011,28/1/2011,Reglamento municipal de vertido de aguas residuales de Albacete,CMA,Castilla la Mancha,Albacete,M. Ambiente,[1],
ALBACETE 29/10/1993,29/10/1993,Ordenanza municipal de medio ambiente de Albacete,CMA,Castilla la Mancha,Albacete,M. Ambiente,[1],
ALBACETE 4/7/2008,4/7/2008,Rectificación/aclaración de determinados apartados relativos al protocolo de actuación por el que se establece el contenido mínimo que debe incluirse en los Proyectos de Actividad (Anexos I a IV) de Albacete,CMA,Castilla la Mancha,Albacete,M. Ambiente,[1],
ALBACETE 7/7/2008,7/7/2008,Criterios propuestos por el Servicio Contra Incendios en cuanto a los expedientes de licencias de obras y actividad que deben someterse a informe de este Servicio de Albacete,CMA,Castilla la Mancha,Albacete,Reg. Industrial,[3],
ALMANSA 14/11/2008,14/11/2008,Modificación de la ordenanza municipal de medio ambiente del Ayuntamiento de Almansa.,CMA,Castilla la Mancha,Almansa,M. Ambiente / Reg. Industrial,[1][3],
ALMANSA 17/2/2014,17/2/2014,Reglamento del servicio municipal de aguas. Ciclo Integral del Agua en el municipio de Almansa.,CMA,Castilla la Mancha,Almansa,M. Ambiente,[1],
ALMANSA 25/6/2007,25/6/2007,Ordenanza municipal de medio ambiente del Ayuntamiento de Almansa,CMA,Castilla la Mancha,Almansa,M. Ambiente / Reg. Industrial,[1][3],
ALMANSA 28/12/2016,28/12/2016,Modificación de la Ordenanza municipal del medio ambiente de Almansa,CMA,Castilla la Mancha,Almansa,M. Ambiente,[1],
ALOVERA 12/6/2006,12/6/2006,"Modificación de las ordenanzas municipales sobre las normas de protección acústica; reguladora, de la tenencia y protección de animales y de buen gobierno y convivencia ciudadana de Alovera.",CMA,Castilla la Mancha,Alovera,M. Ambiente,[1],
ALOVERA 14/3/2003 (1),14/3/2003,Ordenanza de buen gobierno y convivencia ciudadana.,CMA,Castilla la Mancha,Alovera,M. Ambiente,[1],
ALOVERA 14/3/2003 (2),14/3/2003,Ordenanza  Municipal sobre normas de protección acústica,CMA,Castilla la Mancha,Alovera,M. Ambiente,[1],
ALOVERA 19/7/2010,19/7/2010,Supresión de la Ordenanza Municipal de Captación Solar para Usos Térmicos.,CMA,Castilla la Mancha,Alovera,M. Ambiente,[1],
ALOVERA 2/2/2015,2/2/2015,Ordenanza reguladora del vertido de aguas residuales y su depuración de Alovera.,CMA,Castilla la Mancha,Alovera,M. Ambiente,[1],
ALOVERA 23/5/2005,23/5/2005,Ordenanza sobre captación de energía solar para usos térmicos.,CMA,Castilla la Mancha,Alovera,M. Ambiente / Prevención,[1][2],
ALOVERA 29/4/2011 (1),29/4/2011,Modificación de la Ordenanza Municipal de Buen Gobierno y Convivencia Ciudadana,CMA,Castilla la Mancha,Alovera,M. Ambiente,[1],
ALOVERA 29/4/2011 (2),29/4/2011,Modificación de la Ordenanza Municipal sobre Normas de Protección Acústica,CMA,Castilla la Mancha,Alovera,M. Ambiente,[1],
