Item_id,Item_Title,Fecha_publicacion,Tags,Match_ASECORP_BBDD
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1615.pdf&tipo=rutaDocm"";""2021/1615"")","Urbanismo. Ley 1/2021, de 12 de febrero, de Simplificación Urbanística y Medidas Administrativas. [NID 2021/1615]",2021-02-25,"Ley 5/2020, Ley 7/2019, Ley 45/2007, Ley 1/2021",LEY 7/2019 CMA
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1790.pdf&tipo=rutaDocm"";""2021/1790"")","Sanciones. Notificación de 18/02/2021, de la Delegación Provincial de Sanidad de Albacete, por la que se da publicidad a iniciación del expediente sancionador número 1105/20-S de fecha 15/12/2020. [NID 2021/1790]",2021-02-25,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1794.pdf&tipo=rutaDocm"";""2021/1794"")","Sanciones. Notificación de 18/02/2021, de la Delegación Provincial de Sanidad de Albacete, por la que se da publicidad a iniciación del expediente sancionador número 1106/20-S de fecha 15/12/2020. [NID 2021/1794]",2021-02-25,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1762.pdf&tipo=rutaDocm"";""2021/1762"")","Sanciones. Notificación de 18/02/2021, de la Delegación Provincial de Sanidad de Toledo, por la que se da publicidad al acuerdo de inicio de fecha 22/12/2020 recaído en el expediente sancionador por infracción en materia de sanidad, al no haberse podido practicar la notificación personal en el último domicilio conocido (expediente número 450123/2020-S). [NID 2021/1762]",2021-02-25,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1764.pdf&tipo=rutaDocm"";""2021/1764"")","Expropiación Forzosa. Resolución de 12/02/2021, de la Secretaría General, por la que se somete a información pública en materia de expropiación forzosa el proyecto de construcción de la estación depuradora de aguas residuales (EDAR) de Tobarra (Albacete). Expediente: AD/AB/20/002. [NID 2021/1764]",2021-02-25,Ley 12/2002,LEY 12/2002 CMA
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1770.pdf&tipo=rutaDocm"";""2021/1770"")","Notificaciones. Notificación de 16/02/2021, de la Delegación Provincial de Bienestar Social de Ciudad Real, en procedimiento de protección de menores. [NID 2021/1770]",2021-02-25,"Ley 1/2000, Ley 39/2015","RDL 12/2011 ESP, RES 15/9/2011 ESP"
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1771.pdf&tipo=rutaDocm"";""2021/1771"")","Notificaciones. Notificación de 16/02/2021, de la Delegación Provincial de Bienestar Social de Ciudad Real, por la que se acuerda dar publicidad a la resolución recaída en el expediente de recaudación en período voluntario, en plaza de residente en centro de la Junta de Comunidades de Castilla-La Mancha, al no haberse podido practicar la notificación personal en el último domicilio conocido. [NID 2021/1771]",2021-02-25,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1806.pdf&tipo=rutaDocm"";""2021/1806"")","Aguas. Resolución de 02/02/2021, de la Dirección General de Transición Energética, por la que se otorga la concesión de aprovechamiento de las aguas minerales-naturales Fonte Frida, número 4.204 (0-0-1), en el término municipal de Las Herencias (Toledo). [NID 2021/1806]",2021-02-25,"Real Decreto Legislativo 1/2001, Ley 39/2015, Ley 11/2003, Ley 8/1990, Real Decreto 1798/2010","DEC 4/1995 CMA, LEY 1/2018 ESP, LEY 8/1990 CMA, ORD APA/1401/2018 ESP, RD 1798/2010 ESP, RD 314/2016 ESP, RD 849/1986 ESP, RD 902/2018 ESP, RDG 1/2001 ESP, RDL 10/2017 ESP, RDL 4/2007 ESP, RES 22/6/2017 ESP (2)"
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1805.pdf&tipo=rutaDocm"";""2021/1805"")","Medio Ambiente. Resolución de 15/02/2021, de la Delegación Provincial de Desarrollo Sostenible de Ciudad Real, por la que se formula el informe de impacto ambiental de sometimiento a evaluación de impacto ambiental ordinaria del proyecto: Transformación en regadío de 85,80 hectáreas y abrevadero en Almadén (expediente PRO-CR-20-1405), situado en el término municipal de Almadén (Ciudad Real), cuya promotora es Agroforestal y Ganadera La Ribera Alta, SL. [NID 2021/1805]",2021-02-25,"Ley 9/1999, Ley 21/2013, Ley 2/2020, Ley 9/2012, Ley 4/2007","LEY 2/2020 CMA, LEY 21/2013 ESP, LEY 4/2007 CMA, LEY 8/2007 CMA, LEY 9/2012 CMA, LEY 9/2018 ESP, RES 8/3/2016 ESP, STC 13/2015 ESP , STC 53/2017 ESP"
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1781.pdf&tipo=rutaDocm"";""2021/1781"")","Resolución de 18/02/2021, de la Secretaría General, por la que se da publicidad a la formalización del contrato de la obra de ampliación y reforma del consultorio local de Viso del Marqués (Ciudad Real). Expediente: 2020/000470. [NID 2021/1781]",2021-02-25,,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1796.pdf&tipo=rutaDocm"";""2021/1796"")","Resolución de 18/02/2021, del Hospital Nacional de Parapléjicos de Toledo, por la que se da publicidad a la formalización del contrato de servicio de alimentación de pacientes (61035200TO20SER00008). [NID 2021/1796]",2021-02-25,,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1763.pdf&tipo=rutaDocm"";""2021/1763"")","Resolución de 16/02/2021, del Instituto Regional de Investigación y Desarrollo Agroalimentario y Forestal (Iriaf), por la que se da publicidad a la formalización de los contratos de suministro de material de laboratorio y medicamentos para EVE y Cersyra (5101CR20SUM00511). [NID 2021/1763]",2021-02-25,,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1807.pdf&tipo=rutaDocm"";""2021/1807"")","Anuncio de 16/02/2021, de la Dirección General de Medio Natural y Biodiversidad, por el que se convoca a vocales de los colectivos incluidos en el artículo 5 del Decreto 98/2005, de 6 de septiembre, por el que se crea el Consejo Regional de Pesca Fluvial de Castilla-La Mancha y se convoca a pescadores no pertenecientes a asociaciones deportivas para la renovación de vocales de los consejos provinciales de pesca en las provincias de Albacete, Ciudad Real, Cuenca y Toledo. [NID 2021/1807]",2021-02-25,"Ley 1/1992, Ley 40/2015, Ley 39/2015",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1041.pdf&tipo=rutaDocm"";""2021/1041"")","Anuncio de 01/02/2021, de la Delegación Provincial de Desarrollo Sostenible de Toledo, sobre ocupación de terrenos en vía pecuaria Colada de Entrambasrayas (VP/72/20), en el término municipal de Gamonal (Talavera de la Reina), con destino a cruzamiento para instalación de la red de fibra óptica. [NID 2021/1041]",2021-02-25,,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1270.pdf&tipo=rutaDocm"";""2021/1270"")","Anuncio de 08/02/2021, de la Delegación Provincial de Desarrollo Sostenible de Toledo, sobre la existencia y demarcación de demasía en la concesión de explotación San Bartolomé, número 4.030-D. [NID 2021/1270]",2021-02-25,,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1643.pdf&tipo=rutaDocm"";""2021/1643"")","Anuncio de 15/02/2021, de la Mancomunidad de Servicios Manserman de Villamalea (Albacete), sobre exposición al público de la aprobación inicial del presupuesto de la entidad para el ejercicio 2021 y la plantilla de personal. [NID 2021/1643]",2021-02-25,Real Decreto Legislativo 2/2004,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1703.pdf&tipo=rutaDocm"";""2021/1703"")","Anuncio de 16/02/2021, del Ayuntamiento de El Viso de San Juan (Toledo), sobre las bases para la convocatoria de un puesto de policía local mediante el sistema de movilidad. [NID 2021/1703]",2021-02-25,,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1736.pdf&tipo=rutaDocm"";""2021/1736"")","Anuncio de 17/02/2021, del Ayuntamiento de Enguídanos (Cuenca), sobre información pública de la solicitud de calificación urbanística previa a la obtención de la licencia urbanística para llevar a cabo las obras de construcción de una nave almacén de material de construcción en las parcelas 1025 y 1029 del polígono 31 del catastro de rústica. [NID 2021/1736]",2021-02-25,,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1542.pdf&tipo=rutaDocm"";""2021/1542"")","Corrección de errores del Anuncio de 26/10/2020, del Ayuntamiento de Luciana (Ciudad Real), sobre información pública de la parte corregida y completada del documento técnico de la Modificación Puntual número 1/2019 de las Normas Subsidiarias publicado en el DOCM 228 de fecha 11/11/2020. [NID 2021/1542]",2021-02-25,,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1607.pdf&tipo=rutaDocm"";""2021/1607"")","Anuncio de 15/02/2021, del Ayuntamiento de Manzanares (Ciudad Real), sobre información pública del proyecto de instalación de la planta solar fotovoltaica Manztierra 1. [NID 2021/1607]",2021-02-25,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1550.pdf&tipo=rutaDocm"";""2021/1550"")","Anuncio de 12/02/2021, del Ayuntamiento de Torrenueva (Ciudad Real), sobre información pública del expediente de calificación y licencia urbanística de nave para taller en suelo rústico. [NID 2021/1550]",2021-02-25,,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1363.pdf&tipo=rutaDocm"";""2021/1363"")","Anuncio de 09/02/2021, del Ayuntamiento de Yuncos (Toledo), sobre las bases para la convocatoria de dos plazas de policía, del Cuerpo de Policía Local, mediante sistema de concurso de movilidad. [NID 2021/1363]",2021-02-25,,
